Code;Name;Type;Capacity
B2-R1;Kampus B B2 Ruang 1;theory;30
B3-R1;Kampus B B3 Ruang 1;theory;30
B3-R2;Kampus B B3 Ruang 2;theory;30
B3-R3;Kampus B B3 Ruang 3;theory;30
CM-101;Kampus B Gedung 1 Lantai 1 Ruang 1;theory;46
CM-102;Kampus B Gedung 1 Lantai 1 Ruang 2;theory;44
CM-103;Kampus B Gedung 1 Lantai 1 Ruang 3;theory;60
CM-201;Kampus B Gedung 1 Lantai 2 Ruang 1;Lab Multimedia;40
CM-202;Kampus B Gedung 1 Lantai 2 Ruang 2;theory;60
CM-203;Kampus B Gedung 1 Lantai 2 Ruang 3;theory;60
CM-204;Kampus B Gedung 1 Lantai 2 Ruang 4;theory;60
CM-205;Kampus B Gedung 1 Lantai 2 Ruang 5;theory;60
CM-206;Kampus B Gedung 1 Lantai 2 Ruang 6;Lab Multimedia;40
CM-207;Kampus B Gedung 1 Lantai 2 Ruang 7;Lab Multimedia;30
CM-208;Kampus B Gedung 1 Lantai 2 Ruang 8;theory;60
CM-Lab3;Kampus B Gedung 1 Lantai 3 Ruang 1;Lab Multimedia;36
CM-LabVirtual;Kampus B Gedung 1 Lantai 3 Ruang 2;Lab Multimedia;45
G2-R2;Kampus A Gedung 2 Ruang 2;theory;30
G2-R3;Kampus A Gedung 2 Ruang 3;theory;30
G2-R4;Kampus A Gedung 2 Ruang 4;theory;30
G2-R5;Kampus A Gedung 2 Ruang 5;theory;30
G2-R6;Kampus A Gedung 2 Ruang 6;theory;30
G2-R7;Kampus A Gedung 2 Ruang 7;theory;30
G3-R1;Kampus A Gedung 3 Ruang 1;theory;32
G3-R2;Kampus A Gedung 3 Ruang 2;theory;40
G3-R4;Kampus A Gedung 3 Ruang 4;theory;28
G4-R1;Kampus A Gedung 4 Ruang 1;theory;60
G4-R2;Kampus A Gedung 4 Ruang 2;theory;60
G4-R3;Kampus A Gedung 4 Ruang 3;theory;45
G4-R4;Kampus A Gedung 4 Ruang 4;theory;45
G5-Lab1;Kampus A Gedung 5 Ruang 1;theory;40
G5-Lab2;Kampus A Gedung 5 Ruang 2;theory;40
G5-LabAudioVisual;Kampus G Lab Audio Visual;Lab Multimedia;30
